district,name,address,phone,mobile,email,website,contact_person,purpose,mission,url
Ahmednagar,"Adarsh Pratishthan, Ahemadnagar","144, Autewadi, Karjat Ahemadnagar Maharashtra 414403",,"9860615925,9822713729",adarshpratishthan1@gmail.com,https://twitter.com/share,Rahul Rajendra Dhavan,"E-Learning, Environment, Forest Management, Health, Hiv/Aids, Plantation, Pollution, Population, Poverty, Rural Development, Tribal Development, Tribal Issues, Volunteers.","We are doing aids/hiv awareness programs in school, colleges, industrial and social places as well as give free education to hiv positive child’s and employment to hiv positive people. Tweet",https://ngosindia.org/maharashtra-ngos/adarsh-pratishthan-ahemadnagar/
Ahmednagar,"Amrutvahini Gramin Vikas Sanstha, Ahmednagar",".: Snehaprabha, Nr. Girl’S High School Ahmednagar Pin: 413701 Maharashtra",912487222271,9109960925660,amrutvahini2000@rediffmail.com,https://twitter.com/share,Pradip Thorat,"Child care, science and technology, rural development.","Providing non-formal education to children who have dropped out of school. Implement adult education programme. Establish educational institute for promotion of education e.g. Primary, secondary, higher secondary high school, colleges, educational collages, agricultural, engineering, medical, pharmacy and law collages. To undertake various activities related to sports and cultural programmes for youth, women and children from the community. To establish and manage library, balbhavan and balwadi. To establish and manage home to destitute children, hostels and residential high schools. Campaign against child labour practice. Establish rural hospitals and promotion programmes for aids, health and hygiene education. To undertake watershed development and agricultural development programmes for the socio-economic development of the community. To undertake various activities for the development of agricultural, medicinal plant and organic composting. To undertake various activities for environmental protection, energy saving and tree plantation programme. To undertake research on water management, non-conventional energy and agricultural technology and promote it. To undertake various activities for development of childrens and women from the community. Tweet",https://ngosindia.org/maharashtra-ngos/amrutvahini-gramin-vikas-sanstha-ahmednagar/
Ahmednagar,"Baba Sevabhavi Sanstha, Ahmednagar","Pimparne, Sangamner Ahmednagr Maharashtra 422605",,8975716966,jagdishvbagul@gmail.com,https://twitter.com/share,Jagdish V Bagul,"Community Development, General – Social Welfare, Group Promotion, Law, Legal Awareness, Library, Livelihood, Medical Relief, Natural Resource Management, Rural Development, Social Awareness, Sustainable Development, Training, Water, Women Development Welfare, Women’S Issues, Youth Samajatil Vanchit Ghtkala Vikasbhimuk Karnyasathi Praytna Kart Aahe.","Samajik vikas, upjivaka tayar karne or prommotion karne. Tweet",https://ngosindia.org/maharashtra-ngos/baba-sevabhavi-sanstha-ahmednagar/
Ahmednagar,"Centre for Studies in Rural Development, Institute of Social Work & Research, Ahmednagar",".: Station Road, Ahmednagar Ahmednagar Pin: 414001 Maharashtra",912412346328,,sharma.sudhir@gmail.com,https://twitter.com/share,Prof. Sudhir Sharma,"Rural development, women’s empowerment, child development, agricultural development, save the girl.","To provide equal opportunity for quality education for students from diverse backgrounds, which will help to enrich themselves and make them responsible citizens of India and the World. Tweet",https://ngosindia.org/maharashtra-ngos/centre-for-studies-in-rural-development-institute-of-social-work-research-ahmednagar/
Ahmednagar,"Chatrapati Sambhajiraje Gramin Vaidyakiya Pratisthan, Ahmednagar",.: Ahmednagar Ahmednagar Pin: 414003 Maharashtra,912412423660,919766559200,ajinkyameet@yahoo.co.in,https://twitter.com/share,Ajinkya Pansambal,,To make people educated in medical & computer fields. Tweet,https://ngosindia.org/maharashtra-ngos/chatrapati-sambhajiraje-gramin-vaidyakiya-pratisthan-ahmednagar/
Ahmednagar,"Comprehensive Rural Development Project, Ahmednagar",".: Karanji, Pathardi Ahmednagar Pin: 414106 Maharashtra",912428248023,,akasote@rediffmail.com,http://www.crdprojecthpage.com,Suhasini Arvind Kasote,,Working for blind. Develop there life from dirncar husband. Tweet,https://ngosindia.org/maharashtra-ngos/comprehensive-rural-development-project-ahmednagar/
Ahmednagar,"Deepstambh Pratishthan, Ahmednagar",".: 2, Kalpana Palace, Swastik Chowk Ahmednagar Pin: 414001 Maharashtra",,919060344066,deepstambh.pratishthan@gmail.com,https://twitter.com/share,Santosh Bhanudas Gaikwad,"To Make the better rural life, specially backward peoples.",To make peoples life better than they live today. Tweet,https://ngosindia.org/maharashtra-ngos/deepstambh-pratishthan-ahmednagar/
Ahmednagar,"Disha Education Foundation, Ahmednagar",".: Sangamner, Ahmednagar Ahmednagar Pin: 422605 Maharashtra",,919921970001,dishaedu_sangamner@rediffmail.com,https://twitter.com/share,Rahul Khatal,"Education, health, nrm, water, women empowerment, child development, rural development, disability.","Establish educational institute for promotion of education e.g. Primary, secondary, higher secondary high school, colleges, educational collages, agricultural, engineering, medical, pharmacy and law collages. To undertake various activities related to sports and cultural programmes for youth, women and children from the community. To establish and manage library, balbhavan and balwadi. To establish and manage home to destitute children, hostels and residential high schools. Campaign against child labour practice. Establish rural hospitals and promotion programmes for aids, health and hygiene education. To undertake watershed development and agricultural development programmes for the socio-economic development of the community. To undertake various activities for the development of agricultural, medicinal plant and organic composting. To undertake various activities for environmental protection, energy saving and tree plantation programme. Tweet",https://ngosindia.org/maharashtra-ngos/disha-education-foundation-ahmednagar/
Ahmednagar,"Drushti Bahuuddeshiy Sevabhavi Sanstha Padhegaon, Shrirampur","Vikram Daulatrao Bankar, Near Indian Overseas Bank, Padhegaon, Shrirampur Ahmednagar Maharashtra 413721",,9665940375,dbss19138@gmail.com,https://twitter.com/share,Nilesh Dnyaneshwar Rajwal,Social Work.,"To improve rural area, child welfare, womens welfare, plantation. Tweet",https://ngosindia.org/maharashtra-ngos/drushti-bahuuddeshiy-sevabhavi-sanstha-padhegaon-shrirampur/
Ahmednagar,"Ekatmata Yuva Gramin Vikas Avam Sanshodhan Kendra, Parner",".: Ahmednagar, Parner Parner Pin: 414302 Maharashtra",,919226263328,ekatmatayuvagraminv@yahoo.in,https://twitter.com/share,Bharat Shrimandilkar,Youth development.,"Rural development, youth development, child development, women development. Tweet",https://ngosindia.org/maharashtra-ngos/ekatmata-yuva-gramin-vikas-avam-sanshodhan-kendra-parner/
